Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Sugars (g),Protein (g),class
126,430,200,22,14,0,30,160,51,42,8,1
127,680,300,34,18,0.5,50,270,84,68,14,1
128,1020,470,52,29,1,65,390,123,99,18,0
129,1370,640,71,41,1.5,85,510,165,132,24,0
130,320,100,11,7,0,30,115,48,41,7,1
131,550,170,19,13,0.5,50,190,84,72,12,1
132,730,230,25,18,1,65,250,113,97,16,1
133,920,290,32,22,1,80,310,143,122,20,1
134,750,240,27,19,1.5,75,310,109,88,21,1
135,590,200,22,16,1,55,240,83,68,16,1
136,470,170,19,13,1,45,190,64,53,13,1
137,980,280,31,21,1.5,85,450,154,124,22,0
138,750,220,25,17,1.5,65,330,115,93,17,0
139,550,180,20,14,1,50,240,79,65,13,0
140,920,250,28,19,1.5,75,390,147,128,21,1
141,710,210,23,16,1,60,290,110,96,16,1
142,530,170,19,14,1,45,220,77,67,13,1
143,990,340,38,29,1.5,75,440,140,112,23,1
144,750,270,30,23,1.5,60,330,105,85,17,1
145,550,200,22,17,1,45,240,75,61,13,0
146,110,10,1,1,0,5,105,23,16,2,1
147,80,10,1,0.5,0,5,80,18,12,1,1
148,60,5,0.5,0,0,0,50,12,8,1,0
149,1250,650,72,26,1.5,75,830,119,89,30,0
150,930,480,53,20,1,60,590,91,69,22,0
151,640,310,34,16,1,45,370,67,54,16,1
152,800,250,27,19,1.5,75,340,120,105,21,1
153,630,200,23,16,1,60,260,92,80,16,1
154,490,170,19,14,1,45,200,68,59,13,0
155,860,260,29,20,1.5,80,340,127,112,22,0
156,660,210,23,16,1,60,260,97,85,16,0
157,520,170,19,14,1,50,200,73,65,13,0
158,780,190,21,15,1,50,320,135,113,13,0
159,620,160,18,13,1,40,240,103,87,10,0
160,490,140,15,11,1,30,190,81,69,8,0
161,780,260,29,16,1,50,310,121,106,14,1
162,620,210,23,14,1,40,240,94,82,11,1
163,500,160,18,12,1,30,180,76,67,9,1
164,700,170,19,14,1,45,240,121,109,12,0
165,560,150,17,12,1,35,190,93,84,9,0
166,450,130,14,11,1,30,150,74,67,7,0
167,640,140,15,10,1,50,210,115,101,12,0
168,490,110,12,8,0.5,40,170,86,75,10,0
169,390,90,10,6,0,30,130,69,60,8,0
170,390,0,0,0,0,0,60,99,95,0,0
171,290,0,0,0,0,0,45,74,71,0,0
172,230,0,0,0,0,0,35,57,55,0,0
173,590,140,15,10,1,50,210,102,90,12,0
174,450,110,12,8,0.5,40,160,77,68,10,0
175,360,90,10,6,0,30,130,62,55,8,0
176,340,0,0,0,0,0,55,86,85,0,0
177,260,0,0,0,0,0,40,65,64,0,0
178,200,0,0,0,0,0,35,50,50,0,0
179,35,10,1.5,1,0,0,0,6,3,0,0
180,600,140,16,10,1,55,260,102,81,12,0
181,430,100,11,7,0.5,35,190,73,58,9,0
182,300,70,8,5,0,25,130,50,40,6,0
183,560,130,14,9,0.5,45,220,97,84,12,1
184,400,90,10,6,0,30,160,70,60,8,1
185,270,60,7,4.5,0,25,110,48,41,6,1
186,610,190,21,16,1,50,260,93,73,13,1
187,430,130,15,11,0.5,35,190,66,52,9,1
188,300,90,10,8,0,25,125,46,36,6,0
189,780,400,44,13,0.5,45,520,79,58,18,0
190,560,290,32,10,0,30,380,56,40,13,1
191,380,190,22,7,0,25,260,39,28,9,1
192,480,120,14,9,0.5,45,170,77,67,12,1
193,330,90,10,6,0,30,120,54,47,8,1
194,230,60,7,4.5,0,25,85,38,33,6,0
195,490,120,14,9,0.5,45,190,80,69,12,1
196,340,90,10,6,0,30,135,56,49,8,1
197,240,60,7,4.5,0,25,95,39,34,6,0
198,160,45,5,3,0,15,60,25,17,4,0
199,480,130,15,9,0.5,45,190,73,50,12,0
200,340,90,10,6,0,30,130,52,35,8,0
201,240,70,7,4.5,0,25,90,36,25,6,0
202,210,80,9,7,0,15,70,28,21,4,0
203,640,270,30,23,0.5,45,220,83,63,12,0
204,460,190,21,17,0,30,150,59,45,8,0
205,320,130,15,12,0.3,25,105,40,32,6,0
206,210,80,9,7,0,15,65,28,20,4,0
207,650,270,30,24,0.5,45,200,82,62,12,0
208,460,200,22,18,0,30,140,58,44,8,0
209,320,140,15,12,0,25,95,40,31,6,0
210,200,80,9,7,0,15,65,28,20,4,0
211,640,270,30,23,0.5,45,200,81,60,13,1
212,460,190,22,17,0,30,140,58,43,9,1
213,320,130,15,12,0,25,95,40,30,6,1
214,160,40,4.5,3,0.2,15,65,25,18,4,0
215,450,120,14,9,0.5,45,180,71,52,12,0
216,320,90,10,6,0,30,130,50,36,8,0
217,220,60,7,4.5,0,25,90,34,26,6,0
218,420,0,0,0,0,0,180,96,92,8,1
219,330,0,0,0,0,0,135,77,74,6,1
220,250,0,0,0,0,0,90,59,56,4,1
221,590,5,0,0,0,0,230,136,130,10,1
222,440,5,0,0,0,0,190,103,93,8,0
223,350,5,0,0,0,0,140,83,75,6,0
224,260,0,0,0,0,0,100,62,56,4,1
225,620,5,0.5,0,0,0,240,144,131,11,0
226,460,0,0,0,0,0,180,107,104,8,1
227,370,0,0,0,0,0,135,87,84,6,1
228,280,0,0,0,0,0,90,66,65,4,1
229,660,0,0,0,0,0,220,153,149,10,0
